State	July 2015
California	39,144,818
Texas	27,469,114
Florida	20,271,272
New York	19,795,791
Illinois	12,859,995
Pennsylvania	12,802,503
Ohio	11,613,423
Georgia	10,214,860
North Carolina	10,042,802
Michigan	9,922,576
New Jersey	8,958,013
Virginia	8,382,993
Washington	7,170,351
Arizona	6,828,065
Massachusetts	6,794,422
Indiana	6,619,680
Tennessee	6,600,299
Missouri	6,083,672
Maryland	6,006,401
Wisconsin	5,771,337
Minnesota	5,489,594
Colorado	5,456,574
South Carolina	4,896,146
Alabama	4,858,979
Louisiana	4,670,724
Kentucky	4,425,092
Oregon	4,028,977
Oklahoma	3,911,338
Connecticut	3,590,886
Iowa	3,123,899
Utah	2,995,919
Mississippi	2,992,333
Arkansas	2,978,204
Kansas	2,911,641
Nevada	2,890,845
New Mexico	2,085,109
Nebraska	1,896,190
West Virginia	1,844,128
Idaho	1,654,930
Hawaii	1,431,603
New Hampshire	1,330,608
Maine	1,329,328
Rhode Island	1,056,298
Montana	1,032,949
Delaware	945,934
South Dakota	858,469
North Dakota	756,927
Alaska	738,432
District of Columbia	672,228
Vermont	626,042
Wyoming	586,107